"N1","N2","N3","N4","N5","E1","E2","E3","E4","E5","O1","O2","O3","O4","O5","A1","A2","A3","A4","A5","A6","C1","C2","C3","C4","C5","ID","Neuroticism_Score","Extraversion_Score","Openness_Score","Agreeableness_Score","Conscientiousness_Score"
2,5,5,4,4,2,3,2,1,3,2,1,2,2,2,2,4,1,2,3,2,3,3,2,3,3,1,14,13,9,14,16
3,4,3,2,1,2,3,3,3,3,5,3,3,4,2,3,3,3,3,3,3,4,3,3,4,3,2,13,16,17,18,15
2,3,2,1,1,3,4,4,3,2,4,3,2,3,3,2,3,2,3,3,3,3,2,3,3,3,3,13,18,15,16,14
1,3,1,1,1,4,5,2,3,3,3,2,3,4,2,5,2,3,3,2,3,3,2,2,4,3,4,11,15,14,20,16
4,4,4,4,3,2,4,3,2,3,4,3,4,3,3,2,3,2,5,4,3,3,1,2,2,2,5,15,16,17,19,12
3,3,3,3,3,2,1,3,1,2,5,3,3,3,4,5,2,4,3,3,2,3,2,2,4,4,6,15,13,18,23,17
5,3,4,5,3,3,3,4,4,3,3,3,4,2,2,3,2,3,2,2,2,2,4,3,2,1,7,16,17,14,18,14
3,5,3,2,2,2,2,3,3,1,2,1,3,4,2,2,1,5,4,3,2,4,2,4,2,3,8,13,17,12,23,11
4,4,3,3,4,3,3,5,2,2,3,1,2,1,3,2,1,3,1,1,2,2,2,3,2,3,9,16,17,10,16,14
4,5,5,2,3,3,3,4,4,4,5,3,4,4,3,3,4,3,3,2,2,3,3,2,4,4,10,17,16,19,17,18
5,3,3,4,5,3,4,3,2,3,3,3,4,3,3,4,3,2,4,2,2,2,2,2,3,1,11,18,15,16,19,14
2,2,1,2,2,4,3,2,5,4,4,2,4,3,2,3,1,2,1,1,1,3,1,2,4,3,12,13,14,15,17,15
2,3,3,2,1,2,2,2,2,1,4,4,4,4,4,4,3,4,3,3,3,4,4,4,4,4,13,13,15,20,20,16
3,3,3,2,3,2,3,3,2,3,4,4,3,3,3,2,3,5,3,3,3,3,2,5,4,3,14,16,15,17,19,13
3,2,2,2,2,3,2,2,4,2,4,3,4,3,3,4,4,5,4,3,4,2,2,2,2,2,15,15,15,17,20,14
3,2,3,2,2,2,2,3,2,3,4,3,3,3,4,2,2,4,3,3,4,3,2,2,3,2,16,16,14,17,18,14
3,4,3,3,3,2,2,4,5,3,5,4,4,3,4,2,3,4,4,3,2,4,2,3,2,4,17,14,18,20,20,13
2,2,2,1,2,3,2,4,3,4,2,2,2,4,3,3,3,4,5,4,4,3,5,5,5,4,18,15,14,13,21,18
3,2,4,2,3,2,3,3,1,3,3,3,5,2,3,5,4,5,5,4,5,3,3,3,5,5,19,18,14,16,22,19
5,3,4,3,2,1,2,4,3,2,3,2,2,1,2,1,2,2,2,1,1,3,3,3,3,4,20,17,18,10,15,16
2,5,2,2,1,2,2,4,3,3,3,1,3,3,2,4,4,5,3,5,3,3,1,2,1,1,21,10,16,12,22,10
2,2,4,2,3,2,4,2,2,2,4,4,4,4,4,4,4,5,5,4,3,4,2,3,5,4,22,17,16,20,23,16
4,4,4,2,2,2,4,3,3,3,2,3,3,3,3,4,4,3,3,4,2,4,3,3,2,2,23,16,17,14,20,12
2,4,5,3,3,1,3,3,4,1,3,3,3,3,3,4,4,2,2,3,3,2,1,3,2,3,24,15,20,15,16,13
2,2,4,4,2,4,4,4,4,2,3,1,3,3,1,2,2,2,2,4,3,1,3,1,3,2,25,14,18,11,17,18
2,3,4,3,3,3,2,4,2,2,3,3,3,3,3,3,3,3,3,3,4,3,4,5,3,2,26,15,15,15,17,13
1,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,4,4,3,2,2,3,3,27,13,16,15,19,15
2,3,5,2,3,1,3,2,3,3,3,2,4,2,2,4,5,5,5,3,5,3,3,4,2,2,28,17,16,13,19,12
2,5,3,2,3,3,2,3,2,2,3,4,2,3,2,2,3,3,3,3,2,3,2,3,3,3,29,13,14,14,18,14
2,3,3,2,2,4,4,3,5,2,3,3,2,3,3,2,3,4,4,3,3,3,3,4,3,3,30,14,18,14,19,14
3,4,3,3,2,2,2,5,2,2,2,2,1,3,1,3,3,3,3,3,3,2,3,3,4,3,31,13,17,9,18,17
2,3,2,2,2,3,3,2,4,3,3,3,4,4,3,3,2,2,3,2,3,3,3,2,3,4,32,13,15,17,17,17
3,3,4,3,4,1,4,3,2,2,3,3,3,3,3,2,3,3,3,2,2,3,2,1,3,3,33,17,18,15,17,16
2,3,4,2,2,2,3,3,1,2,4,3,5,3,3,2,3,3,4,1,4,4,3,3,3,4,34,15,15,18,15,15
3,2,3,3,2,3,2,2,2,1,4,2,3,2,3,2,3,4,4,2,4,3,2,2,2,1,35,15,14,14,17,12
3,3,3,3,4,2,3,3,3,4,4,3,1,1,2,5,4,3,5,4,4,3,2,3,3,5,36,16,15,11,21,16
3,4,3,1,2,4,5,3,3,4,4,3,5,4,4,3,5,3,3,2,3,3,3,3,4,4,37,15,15,20,15,17
3,3,4,3,1,3,2,3,2,4,3,3,3,3,4,2,4,4,4,3,4,3,3,3,4,4,38,14,12,16,17,17
2,3,4,3,4,3,3,5,3,3,4,2,5,2,3,2,3,4,5,5,4,4,4,5,5,5,39,16,17,16,21,17
3,4,5,3,3,3,2,3,2,4,3,2,2,2,1,3,3,4,4,4,3,3,2,2,3,3,40,16,12,10,21,15
4,3,3,2,2,1,3,3,1,3,3,2,2,1,2,2,2,4,3,2,3,3,3,4,2,4,41,16,15,10,18,14
3,2,3,3,2,4,4,4,2,4,3,3,2,2,3,2,3,4,4,3,3,3,3,2,3,2,42,15,14,13,19,15
2,3,4,2,3,4,5,3,4,4,2,1,2,2,2,4,2,3,3,3,3,2,2,2,2,3,43,16,16,9,20,15
2,2,1,2,2,3,3,4,2,4,5,3,4,3,2,4,1,5,4,3,4,3,4,1,2,5,44,13,14,17,23,19
5,3,5,5,3,3,3,3,4,1,3,2,2,1,3,4,3,3,3,3,5,3,3,4,5,3,45,17,18,11,17,16
2,4,3,3,1,4,5,3,5,4,4,4,4,3,2,4,3,3,3,3,4,2,1,3,2,3,46,11,17,17,18,13
4,3,4,3,3,5,5,2,5,5,4,2,2,3,2,3,4,5,4,2,3,3,2,3,3,4,47,17,14,13,19,15
3,3,3,2,2,2,3,3,2,2,3,3,4,2,3,3,2,3,3,2,3,2,1,3,2,2,48,15,16,15,18,12
2,3,3,3,1,3,4,3,2,4,3,3,3,4,3,3,2,3,3,3,4,4,3,2,5,4,49,12,14,16,18,18
4,2,4,3,3,2,2,2,1,3,3,3,3,1,3,4,2,2,2,3,2,3,2,3,3,3,50,18,12,13,19,14
3,3,4,3,3,2,2,1,2,2,4,3,4,3,4,3,3,3,3,5,4,4,3,1,3,2,51,16,13,18,19,15
2,3,3,4,2,2,2,4,4,3,2,3,4,3,3,4,3,3,3,3,4,3,4,5,4,3,52,12,17,15,18,15
5,4,3,3,4,1,3,3,3,4,3,2,3,2,3,2,2,2,2,2,3,2,1,3,2,3,53,17,16,13,15,13
2,3,4,2,2,4,3,2,2,3,3,3,3,4,3,5,3,4,2,3,3,2,2,1,3,2,54,15,12,16,20,16
1,1,3,2,2,2,3,1,4,4,3,2,3,3,3,2,4,5,2,3,2,3,3,2,4,3,55,15,14,14,18,17
4,4,4,4,4,3,3,2,4,2,3,2,5,3,2,2,4,4,3,3,3,2,2,4,4,3,56,16,16,15,17,15
3,3,5,3,4,3,3,2,3,2,2,2,3,1,1,3,2,2,2,3,2,4,2,2,3,4,57,18,15,9,18,15
3,3,3,4,3,2,3,4,3,3,3,2,2,3,2,4,4,5,2,2,3,3,4,2,3,2,58,14,17,12,18,16
4,3,5,4,4,3,2,4,2,4,1,2,1,1,1,3,3,5,5,3,5,5,5,3,5,5,59,18,13,6,20,19
5,2,3,2,2,3,1,2,3,2,4,4,3,3,4,3,4,3,3,3,4,3,2,4,3,2,60,18,13,18,16,12
4,2,2,3,3,4,4,4,3,4,4,4,1,2,1,3,3,5,3,2,3,4,2,3,3,4,61,16,15,12,19,14
2,1,2,2,1,2,2,3,4,2,3,3,1,1,1,3,3,3,4,2,2,4,4,3,1,2,62,14,17,9,19,12
2,3,4,2,2,3,3,3,4,3,4,2,2,3,2,3,3,4,3,1,2,4,2,2,1,3,63,15,16,13,18,12
4,2,5,4,3,1,2,3,1,2,4,3,5,4,2,2,2,3,3,2,2,3,2,2,4,2,64,18,15,18,18,15
2,2,2,3,3,2,5,2,1,1,3,3,5,3,3,2,2,4,5,3,3,4,3,3,4,3,65,14,17,17,21,15
3,2,2,1,3,2,3,4,4,4,3,3,2,3,3,5,2,1,3,3,1,2,3,2,2,3,66,17,17,14,21,16
2,1,3,2,2,3,2,2,2,4,2,1,2,2,3,2,3,3,3,2,3,3,4,3,2,4,67,16,11,10,16,16
2,4,3,3,3,2,3,3,2,3,5,2,2,2,1,3,2,2,4,2,1,2,2,2,4,4,68,13,15,12,20,18
5,5,5,5,4,3,3,2,1,3,3,4,5,4,4,2,3,3,3,2,4,3,2,1,4,2,69,16,12,20,15,16
4,3,4,2,2,3,3,2,3,3,3,3,4,3,3,2,2,2,3,2,4,3,3,2,2,4,70,17,14,16,15,16
3,4,2,2,2,2,4,4,2,2,4,3,3,2,3,4,4,4,2,4,4,4,3,4,3,3,71,13,18,15,18,13
4,3,3,2,1,2,3,4,2,3,3,3,5,4,3,4,3,5,3,3,2,3,3,3,3,3,72,15,16,18,22,15
3,4,3,4,2,2,3,4,4,3,3,3,3,2,2,3,2,3,2,4,2,3,2,3,3,2,73,12,18,13,20,13
3,3,5,3,2,4,4,1,4,4,5,3,5,5,4,3,4,3,4,4,4,3,4,3,3,4,74,16,13,22,18,17
3,3,4,3,1,1,3,2,3,3,3,3,3,2,3,3,3,4,3,4,3,4,4,2,5,1,75,14,16,14,20,16
1,3,3,3,3,4,4,4,4,4,3,3,3,2,4,3,3,3,3,2,5,3,3,2,1,2,76,13,16,15,15,13
3,4,3,3,3,4,4,4,3,4,3,3,3,3,3,2,3,3,3,3,3,2,1,2,4,3,77,14,15,15,17,16
2,3,5,2,4,2,2,2,1,3,4,3,4,2,2,3,1,3,3,2,2,3,2,4,4,4,78,18,12,15,20,15
2,2,3,3,3,4,3,3,4,5,2,3,3,3,3,4,2,5,4,2,2,4,3,4,4,4,79,15,13,14,23,15
2,4,2,1,2,2,3,2,5,3,4,2,2,1,3,3,3,5,4,4,4,3,3,3,2,4,80,13,17,12,21,15
3,3,3,3,2,5,3,2,3,3,4,2,3,3,3,3,2,3,2,1,3,2,1,1,4,2,81,14,12,15,16,16
5,5,5,2,4,2,2,3,3,4,3,5,4,4,4,2,2,2,3,2,3,4,4,2,3,3,82,19,14,20,16,16
3,3,3,2,2,2,3,1,2,2,3,3,5,4,3,3,2,3,2,2,2,3,3,3,4,5,83,15,14,18,18,18
3,3,2,4,2,4,3,2,4,3,4,3,4,5,2,3,3,4,4,3,3,3,2,2,3,4,84,12,14,18,20,16
2,3,2,2,2,1,4,4,1,2,3,3,2,3,2,4,4,4,5,3,4,3,3,3,3,2,85,13,18,13,20,14
3,3,3,3,3,3,3,5,3,3,4,3,3,2,3,2,2,3,2,1,2,2,4,5,4,4,86,15,17,15,16,17
3,3,1,1,2,3,5,5,4,4,3,3,3,2,2,4,3,2,4,2,3,3,1,4,4,4,87,14,19,13,18,14
4,2,4,3,4,2,3,3,2,3,4,3,4,5,3,4,2,4,4,2,2,4,4,3,3,2,88,19,15,19,22,14
5,3,4,3,4,1,2,1,4,2,4,3,4,2,3,2,2,3,3,2,3,2,1,3,3,3,89,19,16,16,17,14
2,3,4,2,3,2,3,3,4,4,3,3,2,3,2,3,3,2,2,3,2,3,3,3,3,3,90,16,16,13,17,15
3,4,5,3,3,3,3,2,3,4,4,4,2,2,4,2,1,2,3,3,3,3,1,3,2,2,91,16,13,16,18,11
4,4,3,3,2,4,2,4,4,4,3,2,3,4,3,3,3,2,3,2,3,3,5,4,3,4,92,14,14,15,16,17
3,4,2,3,3,2,3,3,2,2,3,3,3,2,3,3,2,4,3,2,4,2,3,4,3,2,93,13,16,14,18,14
1,2,3,2,2,4,5,5,4,4,3,1,2,2,2,2,2,3,3,2,1,3,2,3,3,3,94,14,18,10,19,14
3,3,4,5,3,3,3,4,4,4,4,3,3,2,3,3,4,4,5,3,4,4,2,2,4,3,95,14,16,15,19,15
4,3,3,3,4,2,4,2,2,3,3,2,3,2,3,3,3,3,3,4,4,4,2,4,4,3,96,17,15,13,18,13
3,4,4,3,3,3,4,3,4,3,3,1,3,3,2,3,4,3,3,3,3,4,3,4,5,3,97,15,17,12,17,15
3,4,3,4,3,4,5,4,4,4,5,2,4,3,3,4,3,4,4,4,4,4,3,3,3,5,98,13,17,17,21,16
3,5,4,2,1,3,4,3,3,2,4,3,2,3,2,3,2,2,3,3,4,3,3,3,4,4,99,13,17,14,17,17
5,3,3,4,3,2,2,2,3,1,2,3,3,4,2,2,3,2,1,2,2,4,4,3,2,4,100,16,16,14,14,15
2,4,3,2,3,3,4,3,2,3,3,3,2,1,1,2,2,2,2,3,2,3,3,2,2,3,101,14,15,10,17,15
2,2,4,2,1,3,3,4,3,2,2,1,2,4,2,3,1,4,2,3,3,3,3,2,2,2,102,15,17,11,20,14
4,3,4,2,3,2,4,4,3,3,2,3,4,3,2,3,3,5,4,2,4,3,3,4,4,4,103,18,18,14,19,16
3,4,3,2,2,4,3,4,3,3,4,2,3,2,3,1,2,3,2,2,3,2,1,3,3,2,104,14,15,14,15,13
3,4,4,2,2,3,4,3,3,4,4,4,4,2,3,4,2,2,2,3,3,4,4,3,4,5,105,15,15,17,18,18
3,3,4,1,4,4,4,2,2,3,4,2,3,3,3,3,4,5,4,4,3,3,1,1,2,1,106,19,13,15,21,12
4,3,3,2,3,4,3,5,4,3,5,3,3,2,3,3,3,3,3,4,3,3,2,3,4,4,107,17,17,16,19,16
3,2,3,3,2,3,4,5,4,4,4,3,4,3,2,4,2,3,3,3,3,2,3,4,3,3,108,15,18,16,20,15
4,4,3,2,3,2,2,3,2,2,4,3,3,3,4,2,4,2,3,3,4,2,3,3,3,3,109,16,15,17,14,16
2,4,3,4,2,4,3,3,2,3,3,3,3,3,1,4,4,4,4,4,2,3,3,2,2,2,110,11,13,13,22,14
3,4,4,2,2,1,3,3,4,3,2,2,2,2,2,2,3,3,4,2,3,4,2,3,3,3,111,15,18,10,17,13
4,3,3,1,2,1,3,2,1,3,3,2,3,3,4,4,3,1,3,3,3,3,2,3,3,4,112,17,14,15,17,15
4,4,3,3,3,2,2,4,3,2,4,3,3,3,4,2,3,3,3,2,4,4,3,2,3,5,113,15,17,17,15,17
3,3,5,4,2,2,4,3,2,4,3,3,3,3,3,2,4,3,3,3,4,3,4,3,5,3,114,15,15,15,15,18
3,1,2,2,3,2,4,4,2,3,2,2,1,1,1,4,3,3,4,3,3,5,4,3,5,4,115,17,17,7,20,17
3,3,3,5,3,1,4,4,3,3,2,2,1,1,2,3,3,3,5,4,3,3,3,3,2,3,116,13,19,8,21,14
3,3,3,3,2,3,2,1,2,2,4,3,3,4,5,2,4,3,4,4,3,4,3,2,4,2,117,14,12,19,18,15
4,2,3,3,2,2,4,3,2,4,3,3,4,3,2,1,1,1,2,2,2,2,1,1,3,2,118,16,15,15,15,15
5,4,5,3,2,2,3,2,2,4,1,2,2,2,3,4,4,4,4,3,3,4,3,4,3,4,119,17,13,10,20,14
3,4,4,2,1,4,4,4,4,3,3,3,3,3,2,3,4,4,3,3,2,3,3,2,2,3,120,14,17,14,19,15
4,2,4,2,3,2,3,3,2,3,1,2,2,3,2,3,3,4,4,4,2,3,4,5,4,5,121,19,15,10,22,17
3,4,3,2,1,2,2,3,2,2,4,3,1,3,5,4,5,4,3,3,4,3,2,4,3,5,122,13,15,16,17,15
3,2,3,4,3,4,3,2,3,3,3,4,1,2,3,4,4,2,4,5,2,2,3,2,2,2,123,15,13,13,21,15
3,4,4,2,1,3,2,3,3,3,3,3,2,3,3,1,4,2,5,4,3,4,3,4,3,4,124,14,14,14,17,14
2,3,3,1,1,4,4,4,4,2,1,1,1,1,1,3,3,2,4,2,2,3,3,3,4,4,125,14,18,5,18,17
4,3,2,3,2,1,2,2,1,4,2,2,2,4,2,2,2,3,3,3,3,4,4,3,2,4,126,14,12,12,18,15
1,4,3,2,1,4,3,2,4,2,4,3,3,4,4,3,4,3,5,4,3,2,3,2,3,4,127,11,15,18,20,18
2,4,4,3,3,3,3,3,3,4,4,4,3,3,3,3,4,5,4,3,5,5,3,3,3,4,128,14,14,17,18,14
3,3,4,3,4,1,3,3,4,3,4,3,2,3,1,4,3,4,5,4,4,3,4,2,2,3,129,17,18,13,22,16
4,4,3,3,3,2,3,5,4,4,4,3,4,4,4,4,2,3,3,2,2,3,2,4,3,3,130,15,18,19,20,13
3,1,2,3,3,2,5,4,3,2,3,4,4,5,4,3,1,2,3,2,4,4,1,3,4,2,131,16,20,20,17,12
2,3,4,4,3,3,3,2,1,4,4,4,3,4,3,4,3,2,3,2,3,3,4,3,4,3,132,14,11,18,17,17
3,5,3,2,3,2,4,2,2,3,3,3,3,4,3,3,2,3,3,4,2,4,4,3,3,2,133,14,15,16,21,14
3,4,4,3,1,3,3,3,5,2,1,2,1,3,3,3,3,2,2,2,5,3,1,3,3,1,134,13,18,10,13,11
3,2,3,2,3,4,4,5,3,2,3,4,3,2,3,3,1,1,3,3,3,2,2,2,3,2,135,17,18,15,18,15
2,2,4,3,3,2,4,3,1,3,3,2,3,3,3,3,4,5,5,3,4,3,3,2,3,3,136,16,15,14,20,16
4,4,4,4,2,2,3,2,1,3,2,3,3,3,3,3,3,1,3,4,4,4,3,3,2,3,137,14,13,14,16,13
3,4,5,4,4,3,3,3,2,1,4,2,4,3,3,1,3,1,3,3,2,3,3,2,3,3,138,16,16,16,15,16
4,3,3,1,3,2,1,2,2,2,3,1,2,2,2,2,4,4,3,5,4,3,2,3,3,3,139,18,13,10,18,14
2,3,4,3,3,1,2,4,4,3,4,2,4,4,3,4,4,4,4,3,4,3,2,2,2,1,140,15,18,17,19,12
5,4,2,2,3,4,4,4,2,3,2,3,4,3,2,4,2,3,5,4,3,3,2,2,3,3,141,16,15,14,23,15
2,3,1,2,2,2,3,3,3,1,4,2,3,3,3,4,4,4,4,2,4,3,2,3,3,3,142,12,18,15,18,14
4,5,4,3,2,3,4,4,2,3,2,4,2,3,2,2,3,3,3,4,3,4,4,2,4,3,143,14,16,13,18,17
4,5,4,5,2,3,3,2,2,4,2,2,3,2,1,2,4,2,3,3,4,3,3,3,3,3,144,12,12,10,14,15
3,3,5,2,4,4,4,5,5,4,3,3,3,2,2,3,4,4,5,3,3,3,1,2,5,3,145,19,18,13,20,16
2,3,2,2,3,3,2,2,3,4,2,2,2,2,2,3,1,2,3,2,3,3,2,2,4,2,146,14,12,10,18,15
3,3,3,3,1,5,3,4,3,4,2,2,3,3,2,4,3,4,4,5,4,1,4,3,3,2,147,13,13,12,22,17
3,5,5,3,3,2,2,1,2,3,3,3,4,3,4,3,3,3,5,2,4,3,3,3,3,3,148,15,12,17,18,15
1,2,5,2,3,4,3,3,3,2,3,4,3,2,2,2,3,3,1,3,3,3,3,3,3,3,149,17,15,14,15,15
2,2,4,2,2,4,4,2,5,3,2,2,3,3,1,4,3,3,4,3,4,4,3,2,5,4,150,16,16,11,19,18
4,1,3,3,4,4,3,4,4,5,3,4,5,3,4,1,3,3,3,4,2,4,3,3,3,4,151,19,14,19,18,15
5,4,4,4,3,3,4,4,2,4,2,2,3,3,3,3,3,3,3,3,4,5,4,4,5,4,152,16,15,13,17,16
3,2,2,3,3,3,4,3,2,4,3,2,4,2,2,2,4,3,3,2,3,2,1,3,3,2,153,15,14,13,15,13
3,3,4,2,3,1,3,2,2,3,3,3,2,2,2,4,4,3,4,3,3,3,2,3,3,1,154,17,15,12,19,12
4,3,5,4,4,4,3,4,4,3,2,2,3,4,1,4,5,4,3,3,3,3,3,3,2,2,155,18,16,12,18,13
2,3,3,2,2,2,3,2,5,3,3,2,2,4,2,4,3,3,4,3,4,4,3,3,4,4,156,14,17,13,19,16
4,3,4,1,1,2,2,3,2,3,2,3,1,2,2,3,5,3,2,3,2,3,4,3,4,4,157,17,14,10,16,18
2,3,3,2,1,2,3,5,3,1,3,3,4,4,4,3,3,3,3,3,4,4,4,2,3,5,158,13,20,18,17,18
3,3,4,2,2,2,2,3,4,2,3,4,2,1,1,3,2,4,3,3,3,3,4,5,4,4,159,16,17,11,20,16
5,4,4,3,3,1,1,4,3,3,4,5,3,3,4,1,1,2,3,2,2,3,3,2,2,4,160,17,16,19,17,16
2,3,4,4,2,1,2,3,3,2,4,2,1,3,3,3,3,3,2,3,3,3,4,2,4,4,161,13,17,13,17,19
4,3,4,3,3,1,3,3,1,3,3,3,3,3,3,4,3,5,4,3,3,3,2,4,4,4,162,17,15,15,22,15
3,4,4,2,3,1,3,5,3,2,3,2,2,3,2,3,3,3,3,4,4,3,1,3,2,3,163,16,20,12,18,12
3,3,3,2,3,3,2,4,2,3,4,2,2,3,3,3,4,3,3,3,4,3,3,2,4,2,164,16,14,14,16,16
3,2,2,4,3,4,2,3,1,4,5,3,4,3,3,3,2,2,2,2,4,2,3,3,3,3,165,14,10,18,15,16
3,5,3,3,3,2,3,5,2,3,4,4,4,3,5,2,1,2,1,1,2,3,4,2,3,4,166,13,17,20,15,18
3,2,1,3,2,3,4,3,5,4,3,3,2,3,2,4,1,3,4,1,3,4,5,5,3,3,167,13,17,13,20,14
4,5,4,3,4,2,2,2,2,4,4,3,3,1,3,2,3,4,4,2,4,2,2,2,3,1,168,16,12,14,17,14
3,3,5,3,3,2,3,4,4,3,3,4,3,3,3,2,3,5,3,2,3,3,3,3,2,2,169,17,18,16,18,13
3,4,3,2,2,4,2,1,5,3,4,2,3,4,3,3,2,2,2,1,4,2,4,3,4,2,170,14,13,16,14,17
1,2,3,2,1,2,3,4,3,3,3,3,4,3,3,3,4,4,4,3,3,3,2,2,3,3,171,13,17,16,19,15
4,2,4,4,3,4,4,4,2,4,2,3,3,4,2,3,3,4,3,3,3,2,1,2,3,2,172,17,14,14,19,14
2,3,4,1,1,4,4,4,3,3,2,3,4,3,4,4,4,5,4,3,3,3,5,3,4,5,173,15,16,16,21,20
5,4,4,4,3,3,3,2,2,3,5,3,3,3,5,3,1,2,1,2,2,2,3,4,2,3,174,16,13,19,17,14
1,2,3,3,1,1,3,4,4,4,3,4,2,3,3,3,2,2,2,2,1,4,3,2,2,3,175,12,18,15,18,14
4,4,5,3,1,2,3,3,2,3,4,2,2,1,3,3,3,3,3,3,4,2,3,4,4,3,176,15,15,12,17,16
1,4,4,4,4,2,1,4,4,2,1,2,2,3,2,3,4,4,4,3,4,4,4,2,3,5,177,13,17,10,18,18
4,4,4,2,3,3,2,2,1,3,3,2,3,3,3,3,4,3,2,3,2,3,2,3,4,3,178,17,11,14,17,15
2,4,4,3,3,4,4,4,2,4,4,3,4,3,2,4,2,2,4,2,3,3,2,3,3,2,179,14,14,16,19,13
1,3,3,2,2,4,4,4,4,3,2,3,1,3,3,5,5,3,4,4,3,1,1,2,3,2,180,13,17,12,20,15
2,2,2,2,2,3,5,5,4,4,3,3,2,3,2,4,2,2,3,3,3,4,2,2,3,4,181,14,19,13,19,15
3,2,5,3,3,1,3,3,2,2,4,4,3,2,2,2,3,5,4,4,3,3,3,3,2,4,182,18,17,15,21,15
4,3,4,4,2,3,4,4,4,4,5,3,4,3,4,2,3,3,3,3,2,3,3,3,3,3,183,15,17,19,18,15
3,1,4,2,2,2,5,5,4,4,4,3,3,4,4,3,3,1,4,4,3,2,2,2,2,4,184,18,20,18,18,16
2,5,2,3,2,3,3,1,2,3,2,3,3,3,2,3,2,4,4,4,4,3,2,3,1,3,185,10,12,13,21,12
3,3,3,3,3,2,5,3,3,1,3,4,4,4,3,2,2,4,4,3,4,4,4,3,5,4,186,15,20,18,19,18
1,4,4,5,3,3,3,3,3,3,2,2,2,3,2,4,2,3,3,3,2,3,3,3,3,2,187,11,15,11,21,14
3,3,3,2,2,3,3,3,5,2,4,3,4,4,3,2,1,1,2,1,3,4,5,4,4,4,188,15,18,18,14,17
3,4,2,3,1,5,3,5,3,4,2,1,4,3,3,4,3,2,4,2,3,2,4,3,5,5,189,11,14,13,18,21
2,2,2,2,1,3,1,3,2,3,3,3,3,2,3,2,2,5,4,4,3,4,5,3,4,4,190,13,12,14,22,18
3,4,2,2,2,2,4,3,3,3,4,3,2,3,3,2,3,2,3,3,3,3,3,4,4,3,191,13,17,15,16,15
3,4,4,2,1,2,4,3,3,1,3,3,3,2,3,3,4,3,4,2,3,2,3,3,4,3,192,14,19,14,17,17
3,3,3,2,1,2,3,4,2,2,2,4,1,3,3,3,3,3,3,3,3,4,2,2,2,3,193,14,17,13,18,13
3,4,3,3,3,3,3,2,3,2,2,3,4,2,3,5,3,4,3,2,4,3,4,3,5,5,194,14,15,14,19,20
4,2,4,3,2,2,2,2,3,5,4,2,3,2,3,3,3,3,3,3,3,4,4,2,3,5,195,17,12,14,18,18
3,3,4,2,1,4,4,3,5,4,3,3,2,3,3,2,3,1,2,4,3,3,3,2,3,3,196,15,16,14,15,16
5,3,5,3,2,4,4,3,5,4,2,4,3,3,3,3,3,4,4,3,3,2,3,2,2,2,197,18,16,15,20,15
4,4,3,2,3,3,3,4,4,4,2,2,2,3,1,2,1,2,3,3,2,4,2,3,3,4,198,16,16,10,19,14
3,3,3,4,2,2,3,3,3,3,4,3,4,4,5,2,3,3,2,2,3,1,1,2,3,2,199,13,16,20,15,15
3,4,4,3,2,4,3,5,4,3,2,3,2,2,1,3,3,3,3,3,4,2,4,2,3,2,200,14,17,10,17,17
